ID,Currency,Impact,title,Forecast,Previous,Actual,timeofevent,positive
19753,USD,1,Natural Gas Storage,-12B,-94B,-14B,13/4/11 10:30,1
19754,USD,1,30-y Bond Auction,,3.25|2.4,3.00|2.5,13/4/11 13:00,0
19755,USD,2,Treasury Sec Lew Speaks,,,,13/4/11 14:30,1
19756,NZD,1,FPI m/m,,-0.30%,-1.30%,13/4/11 18:45,1
19757,JPY,2,Tertiary Industry Activity m/m,0.80%,-1.50%,1.10%,13/4/11 19:50,1
19758,JPY,3,BOJ Gov Kuroda Speaks,,,,13/4/11 23:10,1
19759,EUR,1,German WPI m/m,0.30%,0.10%,-0.20%,13/4/12 2:00,0
19760,EUR,2,Industrial Production m/m,0.30%,-0.60%,0.40%,13/4/12 5:00,1
19761,EUR,2,ECOFIN Meetings,,,,2013-4-12 Day 1,1
19762,EUR,2,Eurogroup Meetings,,,,2013-4-12 All Day,1
19763,USD,3,Core Retail Sales m/m,-0.10%,1.00%,-0.40%,13/4/12 8:30,1
19764,USD,2,FOMC Member Rosengren Speaks,,,,13/4/12 8:45,1
19765,USD,3,Prelim UoM Consumer Sentiment,79.1,78.6,72.3,13/4/12 9:55,1
19766,USD,2,Business Inventories m/m,0.40%,0.90%,0.10%,13/4/12 10:00,-1
19767,USD,3,Fed Chairman Bernanke Speaks,,,,13/4/12 12:30,1
19768,USD,2,Treasury Currency Report,,,,13/4/12 16:25,-1
19769,EUR,2,ECOFIN Meetings,,,,2013-4-13 Day 2,0
19770,USD,2,FOMC Member Evans Speaks,,,,13/4/13 12:30,1
19771,NZD,1,BusinessNZ Services Index,,55.9,55,13/4/14 18:30,1
19772,GBP,1,Rightmove HPI m/m,,1.70%,2.10%,13/4/14 19:01,1
19773,JPY,3,BOJ Gov Kuroda Speaks,,,,13/4/14 20:30,1
19774,AUD,2,Home Loans m/m,1.60%,-0.30%,2.00%,13/4/14 21:30,1
19775,CNY,3,GDP q/y,8.00%,7.90%,7.70%,13/4/14 22:00,1
19776,JPY,1,Revised Industrial Production m/m,-0.10%,-0.10%,0.60%,13/4/15 0:30,1
19777,JPY,3,BOJ Gov Kuroda Speaks,,,,13/4/15 2:15,1
19778,EUR,1,Trade Balance,9.9B,8.7B,12.0B,13/4/15 5:00,1
19779,USD,2,Empire State Manufacturing Index,7.2,9.2,3.1,13/4/15 8:30,1
19780,EUR,3,ECB President Draghi Speaks,,,,13/4/15 9:00,1
19781,USD,1,NAHB Housing Market Index,45,44,42,13/4/15 10:00,1
19782,USD,1,President Obama Speaks,,,,13/4/15 18:10,1
19783,AUD,3,Monetary Policy Meeting Minutes,,,,13/4/15 21:30,1
19784,AUD,2,RBA Deputy Gov Debelle Speaks,,,,13/4/15 22:55,1
19785,CHF,2,PPI m/m,0.00%,0.10%,0.00%,13/4/16 3:15,1
19786,EUR,1,Italian Trade Balance,-1.41B,-1.61B,1.09B,13/4/16 4:00,1
19787,GBP,3,CPI y/y,2.80%,2.80%,2.80%,13/4/16 4:30,1
19788,EUR,3,German ZEW Economic Sentiment,41.5,48.5,36.3,13/4/16 5:00,1
19789,USD,1,FOMC Member Dudley Speaks,,,,13/4/16 8:00,1
19790,CAD,3,Manufacturing Sales m/m,0.60%,-0.60%,2.60%,13/4/16 8:30,1
19791,EUR,3,ECB President Draghi Speaks,,,,13/4/16 9:00,1
19792,USD,2,Capacity Utilization Rate,78.40%,79.60%,78.50%,13/4/16 9:15,1
19793,USD,2,Treasury Sec Lew Speaks,,,,13/4/16 10:00,1
19794,NZD,1,GDT Price Index,,11.20%,1.60%,13/4/16 10:30,1
19795,USD,1,FOMC Member Duke Speaks,,,,13/4/16 12:00,1
19796,CHF,2,Gov Board Member Danthine Speaks,,,,13/4/16 12:30,1
19797,USD,2,FOMC Member Yellen Speaks,,,,13/4/16 15:00,1
19798,NZD,3,CPI q/q,0.40%,-0.20%,0.40%,13/4/16 18:45,1
19799,AUD,1,MI Leading Index m/m,,0.40%,0.60%,13/4/16 20:30,1
19800,JPY,1,Consumer Confidence,46.7,44.3,44.8,13/4/17 1:00,1
19801,GBP,3,Claimant Count Change,0.0K,-5.3K,-7.0K,13/4/17 4:30,1
19802,CHF,2,Credit Suisse Economic Expectations,,2.3,20,13/4/17 5:00,1
19803,EUR,2,German 10-y Bond Auction,,1.36|1.6,1.28|1.6,13/4/17 5:33,1
19804,USD,2,FOMC Member Bullard Speaks,,,,13/4/17 9:30,1
19805,CAD,3,BOC Monetary Policy Report,,,,13/4/17 10:00,1
19806,USD,2,Crude Oil Inventories,1.2M,0.3M,-1.2M,13/4/17 10:30,1
19807,CAD,3,BOC Press Conference,,,,13/4/17 11:15,1
19808,USD,2,FOMC Member Rosengren Speaks,,,,13/4/17 12:00,1
19809,USD,2,Beige Book,,,,13/4/17 14:00,1
19810,USD,2,Treasury Sec Lew Speaks,,,,13/4/17 16:00,1
19811,JPY,2,Trade Balance,-0.92T,-1.09T,-0.92T,13/4/17 19:50,1
19812,AUD,2,NAB Quarterly Business Confidence,,-5,2,13/4/17 21:30,1
19813,CNY,1,Foreign Direct Investment ytd/y,,-1.40%,1.40%,13/4/17 22:00,1
19814,GBP,3,Retail Sales m/m,-0.70%,2.10%,-0.70%,13/4/18 4:30,1
19815,EUR,2,Spanish 10-y Bond Auction,,4.48|2.1,4.61|2.6,13/4/18 4:44,1
19816,CHF,2,Gov Board Member Zurbrugg Speaks,,,,13/4/18 5:00,1
19817,GBP,1,30-y Bond Auction,,2.95|1.5,3.12|1.7,13/4/18 5:35,1
19818,USD,3,Unemployment Claims,349K,348K,352K,13/4/18 8:30,1
19819,USD,3,Philly Fed Manufacturing Index,2.7,2,1.3,13/4/18 10:00,1
19820,USD,1,Natural Gas Storage,35B,-14B,31B,13/4/18 10:30,0
19821,CAD,2,BOC Gov Carney Speaks,,,,13/4/18 11:00,1
19822,All,3,G20 Meetings,,,,2013-4-18 Day 1,-1
19823,USD,2,FOMC Member Raskin Speaks,,,,13/4/18 15:15,1
19824,CNY,1,CB Leading Index m/m,,1.20%,0.00%,13/4/18 22:00,1
19825,JPY,1,All Industries Activity m/m,-0.60%,-1.60%,0.60%,13/4/19 0:30,1
19826,EUR,2,German PPI m/m,0.10%,-0.10%,-0.20%,13/4/19 2:00,1
19827,EUR,2,Current Account,14.9B,13.8B,16.3B,13/4/19 4:00,1
19828,EUR,3,German Buba President Weidmann Speaks,,,,13/4/19 6:30,1
19829,CAD,3,Core CPI m/m,0.20%,0.80%,0.20%,13/4/19 8:30,1
19830,All,2,IMF Meetings,,,,2013-4-19 Day 1,1
19831,All,3,G20 Meetings,,,,2013-4-19 Day 2,1
19832,USD,2,FOMC Member Stein Speaks,,,,13/4/19 12:00,1
19833,All,2,IMF Meetings,,,,2013-4-20 Day 2,1
19834,CHF,3,SNB Chairman Jordan Speaks,,,,13/4/20 18:40,1
19835,All,2,IMF Meetings,,,,2013-4-21 Day 3,1
19836,EUR,3,German Buba President Weidmann Speaks,,,,13/4/21 13:30,0
19837,NZD,1,Visitor Arrivals m/m,,4.60%,1.00%,13/4/21 18:45,1
19838,NZD,1,Credit Card Spending y/y,,4.70%,3.60%,13/4/21 23:00,1
19839,EUR,2,German Buba Monthly Report,,,,13/4/22 6:00,-1
19840,USD,1,FOMC Member Dudley Speaks,,,,13/4/22 8:30,1
19841,EUR,1,Consumer Confidence,-24,-24,-22,13/4/22 10:00,1
19842,GBP,2,MPC Member Tucker Speaks,,,,13/4/22 14:30,1
19843,AUD,2,CB Leading Index m/m,,0.20%,0.30%,13/4/22 20:00,-1
19844,CNY,3,Caixin Flash Manufacturing PMI,51.4,51.6,50.5,13/4/22 21:45,1
19845,CHF,1,Trade Balance,1.73B,2.00B,1.90B,13/4/23 2:00,1
19846,EUR,3,French Flash Manufacturing PMI,44.2,44,44.4,13/4/23 3:00,1
19847,EUR,3,German Flash Manufacturing PMI,49,49,47.9,13/4/23 3:30,1
19848,EUR,2,Flash Manufacturing PMI,46.8,46.8,46.5,13/4/23 4:00,1
19849,GBP,2,Public Sector Net Borrowing,14.3B,7.2B,16.7B,13/4/23 4:30,1
19850,GBP,2,CBI Industrial Order Expectations,-14,-15,-25,13/4/23 6:00,1
19851,GBP,2,MPC Member McCafferty Speaks,,,,13/4/23 7:00,1
19852,CAD,3,Core Retail Sales m/m,0.50%,0.40%,0.70%,13/4/23 8:30,1
19853,CAD,3,BOC Gov Carney Speaks,,,,13/4/23 8:45,1
19854,USD,2,Flash Manufacturing PMI,53.8,54.6,52,13/4/23 9:00,1
19855,USD,3,New Home Sales,416K,411K,417K,13/4/23 10:00,1
19856,NZD,3,Official Cash Rate,2.50%,2.50%,2.50%,13/4/23 17:00,1
19857,JPY,1,SPPI y/y,-0.40%,0.00%,-0.20%,13/4/23 19:50,1
19858,AUD,3,CPI q/q,0.70%,0.20%,0.40%,13/4/23 21:30,1
19859,AUD,2,RBA Deputy Gov Lowe Speaks,,,,13/4/23 23:30,1
19860,CHF,1,UBS Consumption Indicator,,1.24,1.25,13/4/24 2:00,1
19861,EUR,3,German ifo Business Climate,106.4,106.7,104.4,13/4/24 4:00,1
19862,GBP,2,High Street Lending,31.2K,30.6K,31.2K,13/4/24 4:30,1
19863,EUR,1,German 30-y Bond Auction,,2.45|1.8,2.16|1.5,13/4/24 5:33,1
19864,GBP,2,CBI Realized Sales,7,0,-1,13/4/24 6:00,1
19865,USD,3,Core Durable Goods Orders m/m,0.50%,-0.70%,-1.40%,13/4/24 8:30,1
19866,EUR,1,Belgian NBB Business Climate,-14.3,-15,-14.7,13/4/24 9:00,1
19867,USD,2,Treasury Sec Lew Speaks,,,,13/4/24 9:30,1
19868,USD,2,Crude Oil Inventories,1.8M,-1.2M,0.9M,13/4/24 10:30,1
19869,CAD,3,BOC Gov Carney Speaks,,,,13/4/24 16:15,1
19870,NZD,0,Bank Holiday,,,,2013-4-24 All Day,1
19871,AUD,0,Bank Holiday,,,,2013-4-24 All Day,-1
19872,EUR,0,Italian Bank Holiday,,,,2013-4-25 All Day,1
19873,EUR,2,Spanish Unemployment Rate,26.50%,26.00%,27.20%,13/4/25 3:00,1
19874,GBP,3,Prelim GDP q/q,0.10%,-0.30%,0.30%,13/4/25 4:30,1
19875,USD,3,Unemployment Claims,352K,355K,339K,13/4/25 8:30,1
19876,USD,2,Treasury Sec Lew Speaks,,,,13/4/25 10:00,1
19877,USD,1,Natural Gas Storage,33B,31B,30B,13/4/25 10:30,1
19878,NZD,3,Trade Balance,472M,441M,718M,13/4/25 18:45,-1
19879,JPY,2,Tokyo Core CPI y/y,-0.40%,-0.50%,-0.30%,13/4/25 19:30,1
19880,JPY,3,Monetary Policy Statement,,,,13/4/26 0:35,1
19881,EUR,1,German Import Prices m/m,0.00%,0.30%,-0.10%,13/4/26 2:00,1
19882,CHF,2,KOF Economic Barometer,0.98,1,1.02,13/4/26 3:00,0
19883,JPY,3,BOJ Press Conference,,,,13/4/26 3:40,1
19884,CHF,3,SNB Chairman Jordan Speaks,,,,13/4/26 4:00,-1
19885,USD,3,Advance GDP q/q,3.10%,0.40%,2.50%,13/4/26 8:30,1
19886,USD,2,Revised UoM Consumer Sentiment,73.3,72.3,76.4,13/4/26 9:55,1
19887,JPY,0,Bank Holiday,,,,2013-4-28 All Day,1
19888,CNY,0,Bank Holiday,,,,2013-4-28 All Day,1
19889,EUR,2,German Prelim CPI m/m,-0.20%,0.50%,-0.50%,2013-4-29 All Day,1
19890,EUR,1,Spanish Flash CPI y/y,2.00%,2.40%,1.40%,13/4/29 3:00,1
19891,EUR,1,Retail PMI,,43.7,44.2,13/4/29 4:10,1
19892,EUR,3,Italian 10-y Bond Auction,,4.66|1.3,3.94|1.4,13/4/29 5:12,1
19893,USD,2,Core PCE Price Index m/m,0.10%,0.10%,0.00%,13/4/29 8:30,1
19894,USD,3,Pending Home Sales m/m,1.10%,-1.00%,1.50%,13/4/29 10:00,1
19895,NZD,1,Building Consents m/m,,4.40%,-9.10%,13/4/29 18:45,1
19896,GBP,1,GfK Consumer Confidence,-26,-26,-27,13/4/29 19:01,1
19897,JPY,1,Final Manufacturing PMI,,50.4,51.1,13/4/29 19:15,1
19898,JPY,2,Household Spending y/y,1.80%,0.80%,5.20%,13/4/29 19:30,1
19899,JPY,2,Prelim Industrial Production m/m,0.40%,0.60%,0.20%,13/4/29 19:50,1
19900,CNY,0,Bank Holiday,,,,2013-4-29 All Day,1
19901,NZD,3,ANZ Business Confidence,,34.6,32.3,13/4/29 21:00,1
19902,AUD,2,Private Sector Credit m/m,0.30%,0.20%,0.20%,13/4/29 21:30,1
19903,JPY,1,Housing Starts y/y,5.70%,3.00%,7.30%,13/4/30 1:00,1
19904,EUR,2,German GfK Consumer Climate,5.9,6,6.2,13/4/30 2:00,1
19905,EUR,2,French Consumer Spending m/m,0.20%,-0.20%,1.30%,13/4/30 2:45,1
19906,EUR,2,Spanish Flash GDP q/q,-0.50%,-0.80%,-0.50%,13/4/30 3:00,1
19907,EUR,2,German Unemployment Change,2K,12K,4K,13/4/30 3:55,1
19908,EUR,1,Italian Monthly Unemployment Rate,11.70%,11.50%,11.50%,13/4/30 4:00,1
19909,GBP,2,Net Lending to Individuals m/m,0.9B,1.3B,0.9B,13/4/30 4:30,1
19910,EUR,2,CPI Flash Estimate y/y,1.60%,1.70%,1.20%,13/4/30 5:00,1
19911,CAD,3,GDP m/m,0.20%,0.30%,0.30%,13/4/30 8:30,1
19912,USD,2,S&P/CS Composite-20 HPI y/y,9.10%,8.10%,9.30%,13/4/30 9:00,1
19913,USD,2,Chicago PMI,52.5,52.4,49,13/4/30 9:45,1
19914,USD,3,CB Consumer Confidence,61.4,61.9,68.1,13/4/30 10:00,1
19915,AUD,1,AIG Manufacturing Index,,44.4,36.7,13/4/30 19:30,1
19916,CNY,0,Bank Holiday,,,,2013-4-30 All Day,1
19917,AUD,2,HIA New Home Sales m/m,,-5.30%,4.20%,13/4/30 21:00,1
19918,JPY,2,Average Cash Earnings y/y,-1.00%,-0.80%,-0.60%,13/4/30 21:30,1
19919,AUD,2,RBA Assist Gov Edey Speaks,,,,13/4/30 23:25,1
19920,JPY,1,10-y Bond Auction,,0.55|3.2,0.60|3.7,13/4/30 23:45,0
19921,CHF,0,Bank Holiday,,,,2013-5-1 All Day,1
19922,EUR,0,German Bank Holiday,,,,2013-5-1 All Day,1
19923,EUR,0,French Bank Holiday,,,,2013-5-1 All Day,1
19924,EUR,0,Italian Bank Holiday,,,,2013-5-1 All Day,1
19925,GBP,2,Nationwide HPI m/m,0.30%,0.00%,-0.10%,13/5/1 2:00,1
19926,AUD,1,Commodity Prices y/y,,-7.50%,-6.50%,13/5/1 2:30,0
19927,GBP,3,Final Manufacturing PMI,48.6,48.6,49.8,13/5/1 4:30,1
19928,USD,3,ADP Non-Farm Employment Change,154K,131K,119K,13/5/1 8:15,-1
19929,USD,1,Final Manufacturing PMI,52.1,52,52.1,13/5/1 9:00,1
19930,CAD,1,Manufacturing PMI,,49.3,50.1,13/5/1 9:30,1
19931,USD,3,ISM Manufacturing PMI,51,51.3,50.7,13/5/1 10:00,0
19932,NZD,1,GDT Price Index,,1.60%,-8.60%,13/5/1 10:30,1
19933,USD,1,Total Vehicle Sales,15.2M,15.3M,14.9M,2013-5-1 All Day,1
19934,GBP,2,MPC Member Broadbent Speaks,,,,13/5/1 14:00,1
19935,CAD,2,BOC Gov Carney Speaks,,,,13/5/1 18:05,1
19936,JPY,3,Monetary Policy Meeting Minutes,,,,13/5/1 19:50,1
19937,NZD,1,ANZ Commodity Prices m/m,,7.40%,12.60%,13/5/1 21:00,1
19938,AUD,3,Building Approvals m/m,1.20%,3.00%,-5.50%,13/5/1 21:30,1
19939,CNY,2,Caixin Manufacturing PMI,50.6,50.5,50.4,13/5/1 21:45,1
19940,EUR,3,Spanish Manufacturing PMI,44.6,44.2,44.7,13/5/2 3:15,1
19941,CHF,2,Manufacturing PMI,49.1,48.3,50.2,13/5/2 3:30,1
19942,EUR,2,Italian Manufacturing PMI,44.9,44.5,45.5,13/5/2 3:45,1
19943,EUR,1,French Final Manufacturing PMI,44.4,44.4,44.4,13/5/2 3:50,1
19944,EUR,1,German Final Manufacturing PMI,47.9,47.9,48.1,13/5/2 3:55,1
19945,EUR,1,Final Manufacturing PMI,46.5,46.5,46.7,13/5/2 4:00,1
19946,GBP,3,Construction PMI,48.1,47.2,49.4,13/5/2 4:30,1
19947,EUR,2,French 10-y Bond Auction,,1.94|3.1,1.81|2.0,13/5/2 5:00,1
19948,USD,1,Challenger Job Cuts y/y,,30.00%,-6.00%,13/5/2 7:30,1
19949,EUR,3,Main Refinancing Rate,0.50%,0.75%,0.50%,13/5/2 7:45,1
19950,CAD,3,Trade Balance,-0.7B,-1.2B,0.0B,13/5/2 8:30,1
19951,USD,1,Natural Gas Storage,27B,30B,43B,13/5/2 10:30,1
19952,AUD,1,AIG Services Index,,49.6,44.1,13/5/2 19:30,-1
19953,JPY,0,Bank Holiday,,,,2013-5-2 All Day,1
19954,CNY,1,Non-Manufacturing PMI,,55.6,54.5,13/5/2 21:00,1
19955,AUD,3,PPI q/q,0.20%,0.20%,0.30%,13/5/2 21:30,1
19956,GBP,3,Final Services PMI,52.5,52.4,52.9,13/5/3 4:30,-1
19957,EUR,2,EU Economic Forecasts,,,,13/5/3 5:00,-1
19958,USD,3,Non-Farm Employment Change,146K,138K,165K,13/5/3 8:30,1
19959,USD,3,ISM Services PMI,54.1,54.4,53.1,13/5/3 10:00,1
19960,USD,1,FOMC Member Tarullo Speaks,,,,13/5/3 12:30,1
19961,CAD,2,BOC Gov Carney Speaks,,,,13/5/3 13:05,0
19962,JPY,0,Bank Holiday,,,,2013-5-5 All Day,1
19963,AUD,1,MI Inflation Gauge m/m,,0.20%,0.30%,13/5/5 20:30,0
19964,AUD,3,Retail Sales m/m,0.20%,1.30%,-0.40%,13/5/5 21:30,1
19965,CNY,1,Caixin Services PMI,,54.3,51.1,13/5/5 21:45,1
19966,EUR,2,Spanish Unemployment Change,17.1K,-5.0K,-46.1K,13/5/6 3:00,1
19967,GBP,0,Bank Holiday,,,,2013-5-6 All Day,0
19968,EUR,2,Spanish Services PMI,45.8,45.3,44.4,13/5/6 3:15,1
19969,EUR,2,Italian Services PMI,46.3,45.5,47,13/5/6 3:45,1
19970,EUR,1,French Final Services PMI,44.1,44.1,44.3,13/5/6 3:50,1
19971,EUR,1,German Final Services PMI,49.2,49.2,49.6,13/5/6 3:55,1
19972,EUR,1,Final Services PMI,46.6,46.6,47,13/5/6 4:00,-1
19973,EUR,1,Sentix Investor Confidence,-14.6,-17.3,-15.6,13/5/6 4:30,1
19974,EUR,2,Retail Sales m/m,-0.10%,-0.20%,-0.10%,13/5/6 5:00,1
19975,CAD,3,Building Permits m/m,0.70%,1.50%,8.60%,13/5/6 8:30,1
19976,EUR,3,ECB President Draghi Speaks,,,,13/5/6 9:00,1
19977,CAD,3,Ivey PMI,58.3,61.6,52.2,13/5/6 10:00,1
19978,USD,1,Loan Officer Survey,,,,13/5/6 14:00,1
19979,NZD,2,Labor Cost Index q/q,0.50%,0.50%,0.40%,13/5/6 18:45,1
19980,GBP,1,BRC Shop Price Index y/y,,1.40%,0.40%,13/5/6 19:00,1
19981,AUD,1,AIG Construction Index,,39,35.2,13/5/6 19:28,1
19982,AUD,3,Trade Balance,0.20B,-0.11B,0.31B,13/5/6 21:30,-1
19983,AUD,3,Cash Rate,3.00%,3.00%,2.75%,13/5/7 0:30,1
19984,CHF,2,SECO Consumer Climate,-3,-6,-5,13/5/7 1:45,1
19985,EUR,2,French Industrial Production m/m,-0.20%,0.80%,-0.90%,13/5/7 2:45,1
19986,CHF,3,Foreign Currency Reserves,,438B,437B,13/5/7 3:00,1
19987,EUR,2,German Factory Orders m/m,-0.40%,2.20%,2.20%,13/5/7 6:00,1
19988,USD,2,JOLTS Job Openings,3.79M,3.90M,3.84M,13/5/7 10:00,1
19989,USD,1,Consumer Credit m/m,16.2B,18.6B,8.0B,13/5/7 15:00,1
19990,USD,2,Treasury Sec Lew Speaks,,,,13/5/7 16:00,1
19991,NZD,3,RBNZ Financial Stability Report,,,,13/5/7 17:00,1
19992,GBP,2,BRC Retail Sales Monitor y/y,,1.90%,-2.20%,13/5/7 19:00,1
19993,CNY,3,USD-Denominated Trade Balance,15.5B,-0.9B,18.2B,13/5/7 21:49,1
19994,EUR,0,French Bank Holiday,,,,2013-5-8 All Day,1
19995,GBP,2,Halifax HPI m/m,0.20%,0.40%,1.10%,13/5/8 3:00,1
19996,CHF,3,CPI m/m,0.10%,0.20%,0.00%,13/5/8 3:15,1
19997,EUR,2,German Industrial Production m/m,-0.10%,0.60%,1.20%,13/5/8 6:00,1
19998,CAD,1,Housing Starts,175K,181K,175K,13/5/8 8:14,1
19999,USD,2,FOMC Member Stein Speaks,,,,13/5/8 8:30,1
20000,USD,2,Crude Oil Inventories,2.1M,6.7M,0.2M,13/5/8 10:30,1
20001,USD,2,10-y Bond Auction,,1.80|2.8,1.81|2.7,13/5/8 13:00,1
20002,USD,2,Treasury Sec Lew Speaks,,,,13/5/8 15:00,1
20003,NZD,3,Employment Change q/q,1.10%,-0.90%,1.70%,13/5/8 18:45,1
20004,AUD,3,Employment Change,11.5K,-31.1K,50.1K,13/5/8 21:30,1
20005,JPY,1,Leading Indicators,97.70%,97.60%,97.60%,13/5/9 1:00,1
20006,CHF,0,Bank Holiday,,,,2013-5-9 All Day,1
20007,EUR,0,German Bank Holiday,,,,2013-5-9 All Day,1
20008,EUR,0,French Bank Holiday,,,,2013-5-9 All Day,1
20009,EUR,2,ECB Monthly Bulletin,,,,13/5/9 4:00,1
20010,GBP,3,Manufacturing Production m/m,0.40%,0.70%,1.10%,13/5/9 4:30,1
20011,GBP,3,Asset Purchase Facility,375B,375B,375B,13/5/9 7:00,1
20012,CAD,2,NHPI m/m,0.10%,0.20%,0.10%,13/5/9 8:30,-1
20013,GBP,2,NIESR GDP Estimate,,0.30%,0.80%,13/5/9 10:00,0
20014,USD,1,Natural Gas Storage,80B,43B,88B,13/5/9 10:30,1
20015,USD,1,30-y Bond Auction,,3.00|2.5,2.98|2.5,13/5/9 13:00,1
20016,JPY,3,Current Account,0.48T,-0.03T,0.34T,13/5/9 19:50,1
20017,AUD,3,RBA Monetary Policy Statement,,,,13/5/9 21:30,1
20018,JPY,1,Economy Watchers Sentiment,59.2,57.3,56.5,13/5/10 1:00,1
20019,EUR,2,German Trade Balance,18.0B,17.7B,17.6B,13/5/10 2:00,1
20020,EUR,1,Italian Industrial Production m/m,-0.20%,-0.90%,-0.80%,13/5/10 4:00,1
20021,CNY,2,New Loans,770B,1060B,793B,13/5/10 4:05,1
20022,GBP,2,Goods Trade Balance,-8.9B,-9.2B,-9.1B,13/5/10 4:30,1
20023,All,3,G7 Meetings,,,,2013-5-10 Day 1,1
20024,USD,2,FOMC Member Evans Speaks,,,,13/5/10 8:25,1
20025,CAD,3,Employment Change,14.8K,-54.5K,12.5K,13/5/10 8:30,1
20026,USD,3,Fed Chairman Bernanke Speaks,,,,13/5/10 9:30,1
20027,USD,2,Federal Budget Balance,108.3B,-106.5B,112.9B,13/5/10 13:59,0
20028,USD,2,FOMC Member George Speaks,,,,13/5/10 14:00,1
20029,All,3,G7 Meetings,,,,2013-5-11 Day 2,-1
20030,NZD,2,REINZ HPI m/m,,2.40%,0.80%,13/5/12 18:14,1
20031,NZD,1,FPI m/m,,-1.30%,0.20%,13/5/12 18:45,0
20032,JPY,1,M2 Money Stock y/y,3.10%,3.10%,3.30%,13/5/12 19:50,1
20033,AUD,2,Home Loans m/m,3.80%,2.10%,5.20%,13/5/12 21:30,1
20034,CNY,2,Fixed Asset Investment ytd/y,21.10%,20.90%,20.60%,13/5/13 1:30,1
20035,CHF,2,Retail Sales y/y,1.00%,2.30%,-0.90%,13/5/13 3:15,1
20036,EUR,3,Eurogroup Meetings,,,,2013-5-13 All Day,1
20037,USD,3,Core Retail Sales m/m,-0.10%,-0.40%,-0.10%,13/5/13 8:30,1
20038,USD,2,Business Inventories m/m,0.30%,0.00%,0.00%,13/5/13 10:00,1
20039,NZD,3,Retail Sales q/q,0.90%,1.90%,0.50%,13/5/13 18:45,1
20040,GBP,1,RICS House Price Balance,2%,-2%,1%,13/5/13 19:01,1
20041,JPY,1,PPI y/y,-0.20%,-0.50%,0.00%,13/5/13 19:50,1
20042,JPY,1,30-y Bond Auction,,1.49|3.6,1.78|3.6,13/5/13 23:45,1
20043,EUR,1,German Final CPI m/m,-0.50%,-0.50%,-0.50%,13/5/14 2:00,1
20044,EUR,3,German ZEW Economic Sentiment,39.5,36.3,36.4,13/5/14 5:00,0
20045,EUR,2,ECOFIN Meetings,,,,2013-5-14 All Day,1
20046,AUD,3,Annual Budget Release,,,,13/5/14 5:30,1
20047,USD,1,NFIB Small Business Index,89.9,89.5,92.1,13/5/14 7:30,1
20048,USD,2,Import Prices m/m,-0.50%,-0.20%,-0.50%,13/5/14 8:30,1
20049,JPY,2,Tertiary Industry Activity m/m,-0.60%,1.20%,-1.30%,13/5/14 19:50,1
20050,AUD,2,New Motor Vehicle Sales m/m,,-0.50%,-1.60%,13/5/14 21:30,1
20051,JPY,1,Consumer Confidence,45.8,44.8,44.5,13/5/15 1:00,1
20052,EUR,2,French Prelim GDP q/q,-0.10%,-0.20%,-0.20%,13/5/15 1:30,1
20053,EUR,3,German Prelim GDP q/q,0.30%,-0.70%,0.10%,13/5/15 2:00,1
20054,EUR,1,French Final CPI m/m,0.10%,0.80%,-0.10%,13/5/15 2:45,1
20055,CHF,2,PPI m/m,-0.20%,0.00%,0.20%,13/5/15 3:15,1
20056,EUR,2,Italian Prelim GDP q/q,-0.40%,-0.90%,-0.50%,13/5/15 4:00,1
20057,GBP,3,Claimant Count Change,-3.1K,-9.9K,-7.3K,13/5/15 4:30,1
20058,CHF,2,Credit Suisse Economic Expectations,,20,2.2,13/5/15 5:00,1
20059,GBP,3,BOE Gov King Speaks,,,,13/5/15 5:30,1
20060,CAD,3,Manufacturing Sales m/m,0.60%,2.80%,-0.30%,13/5/15 8:30,1
20061,USD,2,TIC Long-Term Purchases,33.8B,-13.3B,-13.5B,13/5/15 9:00,1
20062,USD,2,Capacity Utilization Rate,78.40%,78.30%,77.80%,13/5/15 9:15,1
20063,USD,1,NAHB Housing Market Index,43,41,44,13/5/15 10:00,1
20064,NZD,1,GDT Price Index,,-8.60%,-2.60%,13/5/15 10:30,1
20065,NZD,2,BusinessNZ Manufacturing Index,,53.4,54.5,13/5/15 18:34,1
20066,JPY,2,Prelim GDP q/q,0.70%,0.00%,0.90%,13/5/15 19:50,-1
20067,CNY,1,Foreign Direct Investment ytd/y,,1.40%,1.20%,13/5/15 22:00,1
20068,JPY,1,Revised Industrial Production m/m,0.20%,0.20%,0.90%,13/5/16 0:30,0
20069,EUR,2,French Prelim Private Payrolls q/q,-0.30%,-0.30%,-0.10%,13/5/16 2:45,1
20070,EUR,1,Italian Trade Balance,1.72B,1.09B,3.24B,13/5/16 4:00,1
20071,EUR,2,Final CPI y/y,1.20%,1.20%,1.20%,13/5/16 5:00,-1
20072,GBP,1,30-y Bond Auction,,3.12|1.7,3.29|2.0,13/5/16 5:39,1
20073,USD,2,FOMC Member Rosengren Speaks,,,,13/5/16 7:45,1
20074,CAD,2,Foreign Securities Purchases,5.36B,-6.28B,1.19B,13/5/16 8:30,1
20075,USD,3,Philly Fed Manufacturing Index,2.5,1.3,-5.2,13/5/16 10:00,1
20076,CAD,1,BOC Review,,,,13/5/16 10:30,1
20077,USD,2,FOMC Member Raskin Speaks,,,,13/5/16 12:30,1
20078,NZD,2,PPI Input q/q,0.30%,-0.30%,0.80%,13/5/16 18:45,1
