id,currency,impact,title,previous,forcast,actual,timeofevent,positive
29742,USD,2,Chicago PMI,56.8,54.3,55.8,2016-07-29 05:15:00,1
29743,USD,2,Revised UoM Consumer Sentiment,89.5,90.2,90,2016-07-29 05:30:00,1
29744,EUR,3,EBA Bank Stress Test Results,NULL,NULL,NULL,2016-07-28 23:30:00,1
29745,AUD,0,Bank Holiday,NULL,NULL,NULL,2016-07-31 07:30:00,0
29746,AUD,1,AIG Manufacturing Index,51.8,NULL,56.4,2016-07-31 03:00:00,1
29747,AUD,1,HIA New Home Sales m/m,-4.40,NULL,8.20,2016-07-31 04:30:00,1
29748,USD,2,FOMC Member Dudley Speaks,NULL,NULL,NULL,2016-07-31 04:45:00,1
29749,CNY,2,Caixin Manufacturing PMI,48.6,48.8,50.6,2016-07-31 05:15:00,1
29750,JPY,1,Final Manufacturing PMI,49,49,49.3,2016-07-31 05:30:00,1
29751,CHF,0,Bank Holiday,NULL,NULL,NULL,2016-08-01 07:30:00,0
29752,EUR,2,Spanish Manufacturing PMI,52.2,51.6,51,2016-07-31 22:45:00,1
29753,EUR,1,Italian Manufacturing PMI,53.5,52.5,51.2,2016-07-31 23:15:00,1
29754,EUR,1,French Final Manufacturing PMI,48.6,48.6,48.6,2016-07-31 23:20:00,1
29755,EUR,1,German Final Manufacturing PMI,53.7,53.7,53.8,2016-07-31 23:25:00,1
29756,EUR,1,Final Manufacturing PMI,51.9,51.9,52,2016-07-31 23:30:00,1
29757,GBP,3,Final Manufacturing PMI,49.1,49.1,48.2,2016-08-01 00:00:00,1
29758,CAD,0,Bank Holiday,NULL,NULL,NULL,2016-08-01 07:30:00,0
29759,USD,1,Final Manufacturing PMI,52.9,52.9,52.9,2016-08-01 05:15:00,1
29760,USD,3,ISM Manufacturing PMI,53.2,53.1,52.6,2016-08-01 05:30:00,1
29761,USD,1,Loan Officer Survey,NULL,NULL,NULL,2016-07-31 21:30:00,1
29762,JPY,1,Monetary Base y/y,25.40,24.30,24.70,2016-08-01 03:20:00,1
29763,AUD,3,Building Approvals m/m,-5.40,0.90,-2.90,2016-08-01 05:00:00,1
29764,NZD,3,Inflation Expectations q/q,1.64,NULL,1.65,2016-07-31 20:30:00,1
29765,JPY,1,10-y Bond Auction,-0.24,NULL,-0.05,2016-08-01 07:15:00,0
29766,AUD,3,Cash Rate,1.75,1.50,1.50,2016-08-02 08:00:00,1
29767,JPY,1,Consumer Confidence,41.8,42.2,41.3,2016-08-01 20:30:00,1
29768,AUD,1,Commodity Prices y/y,-10.00,NULL,-2.00,2016-08-01 22:00:00,1
29769,EUR,2,Spanish Unemployment Change,-124.3,-70.0,-84.0,2016-08-01 22:30:00,-1
29770,CHF,1,Retail Sales y/y,-1.70,-2.00,-3.90,2016-08-01 22:45:00,1
29771,CHF,1,Manufacturing PMI,51.6,51.9,50.1,2016-08-01 23:00:00,1
29772,GBP,3,Construction PMI,46,44.2,45.9,2016-08-02 00:00:00,1
29773,EUR,1,PPI m/m,0.60,0.40,0.70,2016-08-02 00:30:00,1
29774,USD,2,Core PCE Price Index m/m,0.20,0.10,0.10,2016-08-02 04:00:00,1
29775,CAD,1,Manufacturing PMI,51.8,NULL,51.9,2016-08-02 05:00:00,1
29776,NZD,3,GDT Price Index,0.00,NULL,6.60,2016-08-02 05:40:00,1
29777,USD,1,Wards Total Vehicle Sales,17.0,17.3,17.8,2016-08-02 07:30:00,1
29778,USD,1,Total Vehicle Sales,16.7,17.1,17.9,2016-08-02 07:30:00,1
29779,NZD,1,Labor Cost Index q/q,0.40,0.40,0.40,2016-08-02 02:15:00,1
29780,GBP,1,BRC Shop Price Index y/y,-2.00,NULL,-1.60,2016-08-02 02:31:00,1
29781,AUD,1,AIG Services Index,51.3,NULL,53.9,2016-08-02 03:00:00,1
29782,JPY,1,Monetary Policy Meeting Minutes,NULL,NULL,NULL,2016-08-02 03:20:00,1
29783,NZD,1,ANZ Commodity Prices m/m,3.70,NULL,2.00,2016-08-02 04:30:00,1
29784,CNY,2,Caixin Services PMI,52.7,52.9,51.7,2016-08-02 05:15:00,1
29785,EUR,1,Spanish Services PMI,56,55.1,54.1,2016-08-02 22:45:00,1
29786,EUR,1,Italian Services PMI,51.9,51.1,52,2016-08-02 23:15:00,1
29787,EUR,1,French Final Services PMI,50.3,50.3,50.5,2016-08-02 23:20:00,1
29788,EUR,1,German Final Services PMI,54.6,54.6,54.4,2016-08-02 23:25:00,1
29789,EUR,1,Final Services PMI,52.7,52.8,52.9,2016-08-02 23:30:00,1
29790,GBP,3,Final Services PMI,47.4,47.4,47.4,2016-08-03 00:00:00,1
29791,EUR,1,Retail Sales m/m,0.40,0.00,0.00,2016-08-03 00:30:00,1
29792,USD,3,ADP Non-Farm Employment Change,176,171,179,2016-08-03 03:45:00,1
29793,USD,1,Final Services PMI,50.9,51,51.4,2016-08-03 05:15:00,1
29794,USD,3,ISM Services PMI,56.5,56,55.5,2016-08-03 05:30:00,1
29795,USD,3,Crude Oil Inventories,1.7,-1.6,1.4,2016-08-03 06:00:00,-1
29796,AUD,3,Retail Sales m/m,0.20,0.30,0.10,2016-08-03 05:00:00,1
29797,CHF,1,SECO Consumer Climate,-15,-16,-15,2016-08-03 21:15:00,1
29798,EUR,1,ECB Economic Bulletin,NULL,NULL,NULL,2016-08-03 23:30:00,1
29799,EUR,1,Retail PMI,48.5,NULL,48.9,2016-08-03 23:40:00,1
29800,EUR,1,French 10-y Bond Auction,0.162,NULL,0.192,2016-08-04 00:29:00,0
29801,GBP,3,BOE Monetary Policy Report,NULL,NULL,NULL,2016-08-04 02:30:00,1
29802,GBP,2,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,6-0-3,2016-08-04 02:34:00,1
29803,GBP,3,BOE Gov Carney Speaks,NULL,NULL,NULL,2016-08-04 03:00:00,1
29804,USD,3,Unemployment Claims,266,265,269,2016-08-04 04:00:00,-1
29805,USD,2,Factory Orders m/m,-1.20,-1.80,-1.50,2016-08-04 05:30:00,1
29806,USD,1,Natural Gas Storage,17,3,-6,2016-08-04 06:00:00,-1
29807,AUD,1,AIG Construction Index,53.2,NULL,51.6,2016-08-04 03:00:00,1
29808,JPY,1,Average Cash Earnings y/y,-0.10,0.40,1.30,2016-08-04 03:30:00,1
29809,AUD,3,RBA Monetary Policy Statement,NULL,NULL,NULL,2016-08-04 05:00:00,1
29810,JPY,1,Leading Indicators,99.70,99.60,98.40,2016-08-04 20:30:00,1
29811,EUR,2,German Factory Orders m/m,0.10,0.50,-0.40,2016-08-04 21:30:00,1
29812,EUR,1,French Trade Balance,-2.7,-3.9,-3.4,2016-08-04 22:15:00,1
29813,CHF,2,Foreign Currency Reserves,609,NULL,615,2016-08-04 22:30:00,-1
29814,GBP,2,Halifax HPI m/m,1.20,-0.10,-1.00,2016-08-04 23:00:00,1
29815,EUR,1,Italian Industrial Production m/m,-0.60,0.30,-0.40,2016-08-04 23:30:00,1
29816,CAD,3,Employment Change,-0.7,10.2,-31.2,2016-08-05 04:00:00,1
29817,CAD,2,Ivey PMI,51.7,51.9,57,2016-08-05 05:30:00,1
29818,USD,1,Consumer Credit m/m,17.9,15.5,12.3,2016-08-04 22:30:00,1
29819,JPY,2,Current Account,1.41,1.60,1.65,2016-08-07 03:20:00,1
29820,AUD,1,ANZ Job Advertisements m/m,0.40,NULL,-0.80,2016-08-07 05:00:00,1
29821,CNY,3,Trade Balance,311,313,343,2016-08-07 06:29:00,1
29822,CNY,1,USD-Denominated Trade Balance,48.1,47.6,52.3,2016-08-07 06:37:00,1
29823,JPY,1,Economy Watchers Sentiment,41.2,42.6,45.1,2016-08-07 20:30:00,1
29824,EUR,1,German Industrial Production m/m,-0.90,0.90,0.80,2016-08-07 21:30:00,1
29825,CHF,1,CPI m/m,0.10,-0.50,-0.40,2016-08-07 22:45:00,1
29826,EUR,1,Sentix Investor Confidence,1.7,3.6,4.2,2016-08-08 00:00:00,1
29827,CAD,2,Building Permits m/m,-2.10,2.70,-5.50,2016-08-08 04:00:00,1
29828,USD,1,Labor Market Conditions Index m/m,-0.1,NULL,1,2016-08-08 05:30:00,1
29829,GBP,1,BRC Retail Sales Monitor y/y,-0.50,NULL,1.10,2016-08-08 02:31:00,1
29830,JPY,1,M2 Money Stock y/y,3.50,3.30,3.30,2016-08-08 03:20:00,1
29831,AUD,2,NAB Business Confidence,5,NULL,4,2016-08-08 05:00:00,1
29832,JPY,1,30-y Bond Auction,0.122,NULL,0.423,2016-08-08 07:15:00,0
29833,CHF,1,Unemployment Rate,3.30,3.30,3.30,2016-08-08 21:15:00,-1
29834,EUR,1,German Trade Balance,22.1,23.2,21.7,2016-08-08 21:30:00,1
29835,EUR,1,French Gov Budget Balance,-65.7,NULL,-61.8,2016-08-08 22:15:00,1
29836,GBP,3,Manufacturing Production m/m,-0.60,0.00,-0.30,2016-08-09 00:00:00,1
29837,USD,1,NFIB Small Business Index,94.5,94.5,94.6,2016-08-09 01:30:00,1
29838,CAD,1,Housing Starts,218,196,198,2016-08-09 03:43:00,1
29839,USD,2,Prelim Nonfarm Productivity q/q,-0.60,0.50,-0.50,2016-08-09 04:00:00,1
29840,GBP,1,NIESR GDP Estimate,0.60,NULL,0.30,2016-08-09 05:23:00,1
29841,USD,1,Final Wholesale Inventories m/m,0.20,0.00,0.30,2016-08-09 05:30:00,1
29842,JPY,1,Core Machinery Orders m/m,-1.40,3.40,8.30,2016-08-09 03:20:00,1
29843,AUD,1,Westpac Consumer Sentiment,-3.00,NULL,2.00,2016-08-09 04:00:00,1
29844,AUD,1,Home Loans m/m,-0.80,2.40,1.20,2016-08-09 05:00:00,1
29845,AUD,3,RBA Gov Stevens Speaks,NULL,NULL,NULL,2016-08-09 06:35:00,1
29846,JPY,1,Tertiary Industry Activity m/m,-1.20,0.30,0.80,2016-08-10 08:00:00,1
29847,EUR,1,French Industrial Production m/m,-0.50,0.30,-0.80,2016-08-09 22:15:00,1
29848,EUR,1,German 10-y Bond Auction,-0.05,NULL,-0.09,2016-08-10 01:05:00,0
29849,USD,2,JOLTS Job Openings,5.51,5.52,5.62,2016-08-10 05:33:00,1
29850,USD,3,Crude Oil Inventories,1.4,-1.3,1.1,2016-08-10 06:00:00,-1
29851,USD,1,10-y Bond Auction,1.522,NULL,1.502,2016-08-09 20:31:00,0
29852,USD,1,Federal Budget Balance,6.3,-119.0,-112.8,2016-08-09 21:30:00,1
29853,NZD,3,Official Cash Rate,2.25,2.00,2.00,2016-08-10 00:30:00,1
29854,NZD,3,RBNZ Press Conference,NULL,NULL,NULL,2016-08-10 01:30:00,1
29855,NZD,1,FPI m/m,0.40,NULL,-0.20,2016-08-10 02:15:00,1
29856,GBP,1,RICS House Price Balance,15,19,5,2016-08-10 02:31:00,1
29857,JPY,0,Bank Holiday,NULL,NULL,NULL,2016-08-10 07:30:00,0
29858,AUD,1,MI Inflation Expectations,3.70,NULL,3.50,2016-08-10 04:30:00,1
29859,NZD,3,RBNZ Gov Wheeler Speaks,NULL,NULL,NULL,2016-08-10 04:40:00,1
29860,EUR,1,French Final CPI m/m,-0.40,-0.40,-0.40,2016-08-10 22:15:00,1
29861,EUR,1,Italian Trade Balance,5.03,4.87,4.66,2016-08-11 00:30:00,1
29862,CAD,2,NHPI m/m,0.70,0.20,0.10,2016-08-11 04:00:00,1
29863,USD,2,Mortgage Delinquencies,4.77,NULL,4.66,2016-08-11 05:30:00,1
29864,USD,1,Natural Gas Storage,-6,24,29,2016-08-11 06:00:00,-1
29865,USD,1,30-y Bond Auction,2.172,NULL,2.272,2016-08-10 20:31:00,0
29866,NZD,1,BusinessNZ Manufacturing Index,57.6,NULL,55.8,2016-08-11 02:00:00,1
29867,NZD,3,Retail Sales q/q,1.00,1.00,2.30,2016-08-11 02:15:00,1
29868,NZD,2,Core Retail Sales q/q,1.10,1.10,2.60,2016-08-11 02:20:00,1
29869,CNY,3,Industrial Production y/y,6.20,6.20,6.00,2016-08-11 05:30:00,1
29870,EUR,3,German Prelim GDP q/q,0.70,0.30,0.40,2016-08-11 21:30:00,1
29871,EUR,1,French Prelim Private Payrolls q/q,0.30,0.20,0.20,2016-08-11 22:15:00,1
29872,EUR,1,Italian Prelim GDP q/q,0.30,0.20,0.00,2016-08-11 23:30:00,1
29873,CNY,1,M2 Money Supply y/y,11.80,11.10,10.20,2016-08-11 23:32:00,1
29874,CNY,1,Foreign Direct Investment ytd/y,5.10,NULL,4.30,2016-08-11 23:46:00,1
29875,GBP,1,Construction Output m/m,-2.00,0.90,-0.90,2016-08-12 00:00:00,1
29876,EUR,2,Flash GDP q/q,0.30,0.30,0.30,2016-08-12 00:30:00,1
29877,USD,3,Core Retail Sales m/m,0.90,0.20,-0.30,2016-08-12 04:00:00,1
29878,GBP,1,CB Leading Index m/m,-0.20,NULL,-0.30,2016-08-12 05:00:00,1
29879,USD,3,Prelim UoM Consumer Sentiment,90,91.5,90.4,2016-08-12 05:30:00,1
29880,NZD,1,BusinessNZ Services Index,56.6,NULL,54.2,2016-08-14 02:00:00,1
29881,GBP,1,Rightmove HPI m/m,-0.90,NULL,-1.20,2016-08-14 02:31:00,1
29882,JPY,3,Prelim GDP q/q,0.50,0.20,0.00,2016-08-14 03:20:00,1
29883,JPY,1,Revised Industrial Production m/m,1.90,1.90,2.30,2016-08-15 08:00:00,1
29884,EUR,0,French Bank Holiday,NULL,NULL,NULL,2016-08-15 07:30:00,0
29885,EUR,0,Italian Bank Holiday,NULL,NULL,NULL,2016-08-15 07:30:00,0
29886,CHF,2,PPI m/m,0.10,-0.20,-0.10,2016-08-14 22:45:00,1
29887,EUR,1,German Buba Monthly Report,NULL,NULL,NULL,2016-08-15 01:30:00,1
29888,USD,2,Empire State Manufacturing Index,0.6,2.1,-4.2,2016-08-15 04:00:00,1
29889,USD,1,NAHB Housing Market Index,58,60,60,2016-08-15 05:30:00,1
29890,USD,1,TIC Long-Term Purchases,40.8,42.3,-3.6,2016-08-14 23:30:00,1
29891,AUD,3,Monetary Policy Meeting Minutes,NULL,NULL,NULL,2016-08-15 05:00:00,1
29892,GBP,3,CPI y/y,0.50,0.50,0.60,2016-08-16 00:00:00,1
29893,EUR,3,German ZEW Economic Sentiment,-6.8,2.1,0.5,2016-08-16 00:30:00,1
29894,CAD,3,Manufacturing Sales m/m,-1.00,0.80,0.80,2016-08-16 04:00:00,1
29895,USD,2,Capacity Utilization Rate,75.40,75.70,75.90,2016-08-16 04:45:00,1
29896,NZD,3,GDT Price Index,6.60,NULL,12.70,2016-08-16 06:19:00,1
29897,NZD,3,Employment Change q/q,1.40,0.60,2.40,2016-08-16 02:15:00,1
29898,AUD,1,MI Leading Index m/m,-0.20,NULL,0.10,2016-08-16 04:00:00,1
29899,AUD,2,Wage Price Index q/q,0.50,0.50,0.50,2016-08-16 05:00:00,1
29900,GBP,3,Average Earnings Index 3m/y,2.30,2.50,2.40,2016-08-17 00:00:00,1
29901,CHF,1,Credit Suisse Economic Expectations,5.9,NULL,-2.8,2016-08-17 00:30:00,1
29902,USD,3,Crude Oil Inventories,1.1,0.3,-2.5,2016-08-17 06:00:00,-1
29903,USD,2,FOMC Member Bullard Speaks,NULL,NULL,NULL,2016-08-16 20:30:00,1
29904,USD,3,FOMC Meeting Minutes,NULL,NULL,NULL,2016-08-16 21:30:00,1
29905,JPY,1,Trade Balance,0.34,0.14,0.32,2016-08-17 03:20:00,1
29906,AUD,3,Employment Change,10.8,10.2,26.2,2016-08-17 05:00:00,1
29907,EUR,1,Current Account,31.8,27.3,28.2,2016-08-17 23:30:00,1
29908,GBP,3,Retail Sales m/m,-0.90,0.10,1.40,2016-08-18 00:00:00,1
29909,EUR,2,Final CPI y/y,0.20,0.20,0.20,2016-08-18 00:30:00,1
29910,EUR,2,ECB Monetary Policy Meeting Accounts,NULL,NULL,NULL,2016-08-18 03:00:00,1
29911,CAD,2,Foreign Securities Purchases,13.99,17.23,9.02,2016-08-18 04:00:00,1
29912,USD,2,FOMC Member Dudley Speaks,NULL,NULL,NULL,2016-08-18 05:30:00,1
29913,USD,1,Natural Gas Storage,29,26,22,2016-08-18 06:00:00,-1
29914,NZD,1,Visitor Arrivals m/m,-0.70,NULL,2.90,2016-08-18 02:15:00,1
29915,NZD,1,Credit Card Spending y/y,4.10,NULL,5.60,2016-08-17 20:30:00,1
29916,JPY,1,All Industries Activity m/m,-1.30,0.90,1.00,2016-08-19 08:00:00,1
29917,EUR,1,German PPI m/m,0.40,0.10,0.20,2016-08-18 21:30:00,1
29918,GBP,2,Public Sector Net Borrowing,7.5,-2.3,-1.5,2016-08-19 00:00:00,1
29919,CAD,3,Core CPI m/m,0.00,0.00,0.00,2016-08-19 04:00:00,1
29920,CAD,2,Wholesale Sales m/m,1.90,0.50,0.70,2016-08-22 04:00:00,1
29921,AUD,1,CB Leading Index m/m,0.10,NULL,0.10,2016-08-22 06:00:00,1
29922,NZD,3,RBNZ Gov Wheeler Speaks,NULL,NULL,NULL,2016-08-22 00:30:00,1
29923,JPY,1,Flash Manufacturing PMI,49.3,49.5,49.6,2016-08-22 05:30:00,1
29924,JPY,3,BOJ Gov Kuroda Speaks,NULL,NULL,NULL,2016-08-23 07:30:00,1
29925,CHF,1,Trade Balance,3.51,3.79,2.93,2016-08-22 21:30:00,1
29926,EUR,2,French Flash Manufacturing PMI,48.6,49.1,48.5,2016-08-22 22:30:00,1
29927,EUR,2,German Flash Manufacturing PMI,53.8,53.7,53.6,2016-08-22 23:00:00,1
29928,EUR,2,Flash Manufacturing PMI,52,52.1,51.8,2016-08-22 23:30:00,1
29929,GBP,1,CBI Industrial Order Expectations,-4,-9,-5,2016-08-23 01:30:00,1
29930,CNY,1,CB Leading Index m/m,0.50,NULL,0.70,2016-08-23 04:30:00,1
29931,USD,1,Flash Manufacturing PMI,52.9,53.1,52.1,2016-08-23 05:15:00,1
29932,USD,1,Richmond Manufacturing Index,10,6,-11,2016-08-23 05:29:00,1
29933,EUR,1,Consumer Confidence,-8,-8,-9,2016-08-23 05:30:00,1
29934,NZD,2,Trade Balance,110,-320,-433,2016-08-23 02:15:00,1
29935,AUD,2,Construction Work Done q/q,-0.30,-1.90,-3.70,2016-08-23 05:00:00,1
29936,EUR,1,German Final GDP q/q,0.40,0.30,0.40,2016-08-23 21:30:00,1
29937,GBP,1,High Street Lending,39.8,38.5,37.7,2016-08-24 00:00:00,1
29938,EUR,1,Belgian NBB Business Climate,1,1.1,-3.1,2016-08-24 04:30:00,1
29939,USD,2,Existing Home Sales,5.57,5.52,5.39,2016-08-24 05:30:00,1
29940,USD,3,Crude Oil Inventories,-2.5,-0.5,2.5,2016-08-24 06:00:00,-1
29941,JPY,1,SPPI y/y,0.20,0.10,0.40,2016-08-24 03:20:00,1
29942,EUR,3,German ifo Business Climate,108.3,108.5,106.2,2016-08-24 23:30:00,1
29943,GBP,1,CBI Realized Sales,-14,-5,9,2016-08-25 01:30:00,1
29944,CAD,1,Corporate Profits q/q,-4.60,NULL,-3.40,2016-08-25 04:00:00,1
29945,USD,1,Flash Services PMI,51.4,51.9,50.9,2016-08-25 05:15:00,1
29946,USD,1,Natural Gas Storage,22,22,11,2016-08-25 06:00:00,-1
29947,All,2,Jackson Hole Symposium,NULL,NULL,NULL,2016-08-25 07:30:00,1
29948,JPY,2,Tokyo Core CPI y/y,-0.40,-0.30,-0.40,2016-08-25 03:00:00,1
29949,JPY,1,BOJ Core CPI y/y,0.80,0.60,0.50,2016-08-25 20:30:00,1
29950,EUR,1,German GfK Consumer Climate,10,10.2,10.2,2016-08-25 21:30:00,1
29951,EUR,1,French Prelim GDP q/q,0.00,0.00,0.00,2016-08-25 22:15:00,1
29952,EUR,2,M3 Money Supply y/y,5.00,5.00,4.80,2016-08-25 23:30:00,1
29953,GBP,3,Second Estimate GDP q/q,0.60,0.60,0.60,2016-08-26 00:00:00,1
29954,USD,3,Prelim GDP q/q,1.20,1.10,1.10,2016-08-26 04:00:00,1
29955,USD,3,Fed Chair Yellen Speaks,NULL,NULL,NULL,2016-08-26 05:30:00,1
29956,GBP,2,MPC Member Shafik Speaks,NULL,NULL,NULL,2016-08-26 06:00:00,1
29957,All,2,Jackson Hole Symposium,NULL,NULL,NULL,2016-08-26 07:30:00,1
29958,All,2,Jackson Hole Symposium,NULL,NULL,NULL,2016-08-27 07:30:00,1
29959,JPY,3,BOJ Gov Kuroda Speaks,NULL,NULL,NULL,2016-08-27 01:55:00,1
29960,AUD,1,HIA New Home Sales m/m,8.20,NULL,-9.70,2016-08-28 04:30:00,1
29961,GBP,0,Bank Holiday,NULL,NULL,NULL,2016-08-29 07:30:00,0
29962,USD,2,Core PCE Price Index m/m,0.10,0.10,0.10,2016-08-29 04:00:00,1
29963,NZD,1,Building Consents m/m,21.90,NULL,-10.50,2016-08-29 02:15:00,1
29964,JPY,2,Household Spending y/y,-2.30,-1.30,-0.50,2016-08-29 03:00:00,1
29965,JPY,1,Retail Sales y/y,-1.30,-0.90,-0.20,2016-08-29 03:20:00,1
29966,AUD,3,Building Approvals m/m,-4.70,0.00,11.30,2016-08-29 05:00:00,1
29967,EUR,1,German Import Prices m/m,0.50,-0.10,0.10,2016-08-29 21:30:00,1
29968,EUR,2,German Prelim CPI m/m,0.30,0.10,0.00,2016-08-30 07:30:00,1
29969,CHF,2,KOF Economic Barometer,103.5,102.2,99.8,2016-08-29 22:30:00,1
29970,EUR,1,Italian Retail Sales m/m,0.30,0.20,0.20,2016-08-29 23:30:00,1
29971,GBP,2,Net Lending to Individuals m/m,5.1,4.9,3.8,2016-08-30 00:00:00,1
29972,EUR,1,Italian 10-y Bond Auction,1.241,NULL,1.141,2016-08-30 00:47:00,0
29973,CAD,2,Current Account,-16.6,-20.6,-19.9,2016-08-30 04:00:00,1
29974,USD,1,S&P/CS Composite-20 HPI y/y,5.30,5.10,5.10,2016-08-30 04:30:00,1
29975,USD,3,CB Consumer Confidence,96.7,97.2,101.1,2016-08-30 05:30:00,1
29976,GBP,1,GfK Consumer Confidence,-12,-8,-7,2016-08-30 01:35:00,1
29977,JPY,1,Prelim Industrial Production m/m,2.30,0.70,0.00,2016-08-30 03:20:00,1
29978,AUD,2,RBA Deputy Gov Debelle Speaks,NULL,NULL,NULL,2016-08-30 04:30:00,1
29979,AUD,1,Private Sector Credit m/m,0.20,0.40,0.40,2016-08-30 05:00:00,1
29980,JPY,1,Housing Starts y/y,-2.50,7.60,8.90,2016-08-30 20:30:00,1
29981,CHF,1,UBS Consumption Indicator,1.21,NULL,1.32,2016-08-30 21:30:00,1
29982,EUR,1,French Consumer Spending m/m,-0.80,0.30,-0.20,2016-08-30 22:15:00,1
29983,EUR,2,German Unemployment Change,-7,-2,-7,2016-08-30 23:25:00,-1
29984,EUR,1,Italian Monthly Unemployment Rate,11.60,11.50,11.40,2016-08-30 23:30:00,-1
29985,EUR,2,CPI Flash Estimate y/y,0.20,0.30,0.20,2016-08-31 00:30:00,1
29986,USD,3,ADP Non-Farm Employment Change,194,174,177,2016-08-31 03:45:00,1
29987,CAD,3,GDP m/m,-0.60,0.40,0.60,2016-08-31 04:00:00,1
29988,USD,2,Chicago PMI,55.8,54.1,51.5,2016-08-31 05:15:00,1
29989,USD,2,Pending Home Sales m/m,-0.80,0.70,1.30,2016-08-31 05:30:00,1
29990,USD,3,Crude Oil Inventories,2.5,1.1,2.3,2016-08-31 06:00:00,-1
29991,NZD,2,Overseas Trade Index q/q,4.10,-1.40,-2.10,2016-08-31 02:15:00,1
29992,AUD,1,AIG Manufacturing Index,56.4,NULL,46.9,2016-08-31 03:00:00,1
29993,JPY,2,Capital Spending q/y,4.20,5.60,3.10,2016-08-31 03:20:00,1
29994,JPY,1,Final Manufacturing PMI,49.6,49.6,49.5,2016-08-31 04:00:00,1
29995,CNY,3,Manufacturing PMI,49.9,49.9,50.4,2016-08-31 04:30:00,1
29996,AUD,3,Private Capital Expenditure q/q,-5.40,-4.00,-5.40,2016-08-31 05:00:00,1
29997,CNY,3,Caixin Manufacturing PMI,50.6,50.1,50,2016-08-31 05:15:00,1
29998,JPY,1,10-y Bond Auction,-0.05,NULL,-0.05,2016-08-31 07:15:00,0
29999,AUD,1,Commodity Prices y/y,-2.70,NULL,0.80,2016-08-31 22:00:00,1
30000,CHF,1,Retail Sales y/y,-3.50,-3.10,-2.20,2016-08-31 22:45:00,1
30001,CHF,1,Manufacturing PMI,50.1,50.5,51,2016-08-31 23:00:00,1
30002,EUR,1,Italian Manufacturing PMI,51.2,51.3,49.8,2016-08-31 23:15:00,1
30003,EUR,1,French Final Manufacturing PMI,48.5,48.5,48.3,2016-08-31 23:20:00,1
30004,EUR,1,German Final Manufacturing PMI,53.6,53.6,53.6,2016-08-31 23:25:00,1
30005,EUR,1,Final Manufacturing PMI,51.8,51.8,51.7,2016-08-31 23:30:00,1
30006,GBP,3,Final Manufacturing PMI,48.3,49.1,53.3,2016-09-01 00:00:00,1
30007,EUR,1,Spanish 10-y Bond Auction,1.061,NULL,1.102,2016-09-01 00:20:00,0
30008,EUR,1,French 10-y Bond Auction,0.192,NULL,0.262,2016-09-01 00:34:00,0
30009,USD,1,Challenger Job Cuts y/y,-57.10,NULL,-21.80,2016-09-01 03:00:00,-1
30010,USD,3,Unemployment Claims,261,265,263,2016-09-01 04:00:00,-1
30011,CAD,1,Manufacturing PMI,51.9,NULL,51.1,2016-09-01 05:00:00,1
30012,USD,1,Final Manufacturing PMI,52.1,52.1,52,2016-09-01 05:15:00,1
30013,USD,3,ISM Manufacturing PMI,52.6,52,49.4,2016-09-01 05:30:00,1
30014,USD,1,Wards Total Vehicle Sales,17.8,17.2,16.9,2016-09-01 07:30:00,1
30015,USD,1,Natural Gas Storage,11,38,51,2016-09-01 06:00:00,-1
30016,USD,1,Total Vehicle Sales,17.9,17.2,17.0,2016-09-01 07:30:00,1
30017,JPY,1,Monetary Base y/y,24.70,23.10,24.20,2016-09-01 03:20:00,1
30018,JPY,1,Consumer Confidence,41.3,41.6,42,2016-09-01 20:30:00,1
30019,EUR,2,Spanish Unemployment Change,-84.0,15.0,14.4,2016-09-01 22:30:00,-1
30020,GBP,3,Construction PMI,45.9,46.6,49.2,2016-09-02 00:00:00,1
30021,EUR,1,PPI m/m,0.80,0.10,0.10,2016-09-02 00:30:00,1
30022,CAD,3,Trade Balance,-4.0,-3.2,-2.5,2016-09-02 04:00:00,1
30023,USD,2,Factory Orders m/m,-1.80,2.10,1.90,2016-09-02 05:30:00,1
30024,USD,1,Final Services PMI,50.9,51.2,51,2016-09-03 02:25:00,1
30025,All,2,G20 Meetings,NULL,NULL,NULL,2016-09-04 07:30:00,1
30026,GBP,1,BRC Shop Price Index y/y,-1.60,NULL,-2.00,2016-09-04 02:31:00,1
30027,AUD,1,AIG Services Index,53.9,NULL,45,2016-09-04 03:00:00,1
30028,JPY,1,Average Cash Earnings y/y,1.40,0.50,1.40,2016-09-04 03:30:00,1
30029,AUD,1,MI Inflation Gauge m/m,-0.30,NULL,0.20,2016-09-04 04:30:00,1
30030,AUD,2,Company Operating Profits q/q,-4.40,2.10,6.90,2016-09-04 05:00:00,1
30031,CNY,2,Caixin Services PMI,51.7,51.9,52.1,2016-09-04 05:15:00,1
30032,JPY,3,BOJ Gov Kuroda Speaks,NULL,NULL,NULL,2016-09-04 06:00:00,1
30033,All,2,G20 Meetings,NULL,NULL,NULL,2016-09-05 07:30:00,1
30034,EUR,1,Spanish Services PMI,54.1,55.1,56,2016-09-04 22:45:00,1
30035,EUR,1,Italian Services PMI,52,51.8,52.3,2016-09-04 23:15:00,1
30036,EUR,1,French Final Services PMI,52,52,52.3,2016-09-04 23:20:00,1
30037,EUR,1,German Final Services PMI,53.3,53.3,51.7,2016-09-04 23:25:00,1
30038,EUR,1,Final Services PMI,53.1,53.1,52.8,2016-09-04 23:30:00,1
